,batter,batter_count,attack_angle,track_angle
0,172804761,0,0.8027639530804503,-3.810890479754764
1,172804761,1,3.5173578975154265,-1.480428449821702
2,172804761,2,,
3,172804761,3,6.287549250078766,-12.405520866516266
4,172804761,4,2.54798358672151,-8.962743433238014
5,172804761,5,9.26935612778922,4.28084935297725
6,172804761,6,6.742388100055484,-0.1091367753980501
7,172804761,7,4.31920516456609,0.4927423476164869
8,172804761,8,,
9,172804761,9,0.5211049259987257,-21.06381196512132
10,174158975,0,-4.003553955023899,-12.639374787604304
11,174158975,1,6.425891650792008,0.0449354390997198
12,174158975,2,3.9738168812800194,-2.711666161217708
13,174158975,3,10.907877316123711,6.160866462353391
14,174158975,4,6.311307779913748,0.7679792966521362
15,174158975,5,13.074452798189986,9.097660319502165
16,174158975,6,14.033467419268506,10.527265129060943
17,174158975,7,6.526655996590848,7.887696570945818
18,174158975,8,,
19,174158975,9,,
20,174158975,10,,
21,174158975,11,,
22,174158975,12,4.8866389353331146,-4.742565432766447
23,223971350,0,0.4595032048984881,-4.705949758029273
24,223971350,1,9.876400898168953,4.004674782983364
25,223971350,2,7.752109101614392,3.966720433432649
26,223971350,3,10.465216820489314,5.9769092850730035
27,223971350,4,6.695178507327458,0.1202013033246673
28,290569727,0,12.140032680616253,8.59635952618832
29,290569727,1,,
30,290569727,2,1.0518286918693722,-4.682234477895645
31,290569727,3,9.724964360315406,19.970601196133092
32,290569727,4,8.828698699918242,2.8615581444608944
33,290569727,5,,
34,290569727,6,8.093788727324366,1.3231554289614973
35,290569727,7,1.1700409868895416,-8.477711808876883
36,290569727,8,-2.6378334719068857,-11.294191737973533
37,352830460,0,2.206297311932503,2.1399630758296135
38,352830460,1,3.273714324096146,-0.4681423706229415
39,352830460,2,3.888504381532431,0.4451711176401871
40,352830460,3,-2.589162187388321,-6.792627262995942
41,352830460,4,-6.427278987738503,-10.783811007373023
42,352830460,5,38.65270641425179,40.70878816183472
43,352830460,6,3.388472019810296,-5.229580529727347
44,352830460,7,,
45,352830460,8,6.1573407191026694,1.9970022021262883
46,352830460,9,,
47,352830460,10,-3.67900150781213,-8.471504101917883
48,352830460,11,1.145773286569515,-2.0180900464594864
49,352830460,12,4.521042884609373,-0.7039342238532154
50,352830460,13,5.026854757402754,-13.995280817719957
51,352830460,14,-4.832841212254587,-11.21400479025297
52,352830460,15,9.849805494954284,2.6365655857727033
53,352830460,16,-4.756926459477563,-8.301669281582999
54,352830460,17,-9.451895704780007,-15.477114097973844
55,360906992,0,,
56,360906992,1,5.5348412191623915,1.727765661381543
57,360906992,2,4.613996160977436,-1.7087030962109635
58,360906992,3,,
59,360906992,4,,
60,360906992,5,0.1984839660547504,-5.800696158343711
61,360906992,6,,
62,360906992,7,2.556410957264677,-4.195530369509501
63,360906992,8,2.21540201807024,-31.577132425946164
64,360906992,9,55.99832948242191,58.6533562553154
65,360906992,10,5.939780482530614,4.575953930786691
66,360906992,11,3.166305235940324,-0.4171152605645938
67,360906992,12,3.0825624149616733,-1.595541069999432
68,412098649,0,-3.503481739439322,31.44723724765695
69,412098649,1,-66.11099490753418,-71.07082540009141
70,412098649,2,3.5620240122061815,-21.07547246853323
71,412098649,3,,
72,412098649,4,-3.0916400926602488,-6.9199023212213575
73,412098649,5,-2.86000354874042,-61.16659163087917
74,412098649,6,5.164762630380225,-2.7944688641519324
75,412098649,7,-17.95963670378277,-22.295896781205062
76,412098649,8,,
77,412098649,9,8.514203843882767,4.8557295041033335
78,412098649,10,-9.493849926944096,-13.41863783928913
79,412098649,11,1.6739509801897587,-1.8506091225403656
80,412098649,12,,
81,412098649,13,-7.363585253131805,-12.347856208481849
82,412098649,14,2.7506949942147645,-10.99043863151833
83,412098649,15,-3.4651357660874673,-6.953759101862186
84,412098649,16,-1.0938858856529283,72.9163999791254
85,432216743,0,3.69201486127932,-36.4260463701883
86,432216743,1,16.06937650228121,11.737346343736256
87,432216743,2,-47.94893731023447,-56.10680245433492
88,432216743,3,3.951991976220228,-1.7250175458193415
89,432216743,4,2.8120280735639502,-6.533036431324313
90,451871192,0,15.727636453387555,7.607724281440707
91,451871192,1,7.421210944888642,2.098286959007732
92,451871192,2,-2.8429530381826513,-8.584778741011348
93,451871192,3,,
94,451871192,4,7.491800673001275,0.5467814373973772
95,451871192,5,,
96,451871192,6,,
97,451871192,7,-3.703910274599158,-10.609818734242602
98,451871192,8,3.223486268057213,-3.401181149074495
99,451871192,9,9.656268698183696,4.493311330935523
100,451871192,10,,
101,459722179,0,4.1397589136219635,-4.189510090441041
102,459722179,1,0.215446318781531,-7.372824621760665
103,459722179,2,-9.527397511066388,-10.523675016658029
104,459722179,3,-0.3459293696062713,-4.469627090765773
105,459722179,4,,
106,459722179,5,,
107,459722179,6,,
108,459722179,7,15.357106242359915,12.14129815950093
109,459722179,8,1.521287941657538,-36.822167199640695
110,459722179,9,,
111,459722179,10,-2.895622262660562,-12.710191289246056
112,459722179,11,,
113,459722179,12,2.9699025873908416,1.2176866843502565
114,459722179,13,0.8462707867616486,-8.331878300028201
115,459722179,14,-7.217902675504913,-12.821570983398487
116,459722179,15,3.476133686597018,-1.8787340857916976
117,459722179,16,,
118,459722179,17,-0.2603424579954195,-5.259248175034058
119,459722179,18,-11.555252796088997,-16.497478004191223
120,474808052,0,1.9619459041403473,-3.0437464551469446
121,474808052,1,4.809041285211968,28.004029659238885
122,474808052,2,21.199652074713743,12.229331919639558
123,474808052,3,1.163436732943974,-3.9347981419071703
124,474808052,4,10.552240081274686,4.198835717344778
125,474808052,5,3.648645792597893,-3.3743621842336378
126,474808052,6,-5.1346395918604175,-11.930111435917697
127,474808052,7,2.257966912681931,-3.674519412520756
128,474808052,8,0.2056819774308123,-5.5353819281048295
129,485007791,0,6.057735421444287,-5.211380137343852
130,485007791,1,2.1288649491759615,-5.6399016852433945
131,485007791,2,-89.5402234965134,-97.78830588174522
132,485007791,3,2.227190272852332,-5.395289997216104
133,485007791,4,3.685412270906009,2.4799148749391486
134,485007791,5,-1.7426741734273858,-43.097491187759914
135,485007791,6,-0.714548284376558,-7.708854970375349
136,485007791,7,0.2055227141374102,-4.578547203224137
137,485007791,8,,
138,485007791,9,,
139,485007791,10,3.488386222967634,0.5409405256865161
140,485007791,11,1.3951398202180605,-2.023900566006807
141,485007791,12,3.5498169893708877,-0.929003409389503
142,485007791,13,-1.1735569957877905,-9.01744252127764
143,485007791,14,7.264909962209884,3.4586106442536417
144,485007791,15,-0.3763846210303506,-5.653286236967158
145,505414610,0,2.4232008861973147,5.810530969988777
146,505414610,1,-2.304375459992345,-6.662378933928213
147,505414610,2,,
148,505414610,3,,
149,505414610,4,,
150,505414610,5,6.2273926939806294,-1.086565431151544
151,505414610,6,,
152,518481551,0,2.263201706767269,3.1493991073974343
153,518481551,1,4.994897646431512,0.1991809624510656
154,518481551,2,3.7099293825407904,2.075351253624913
155,518481551,3,4.626016561035914,-2.842399439244879
156,545569723,0,,
157,545569723,1,77.18554798860244,61.63061524868529
158,545569723,2,-4.17379312425542,-9.114859790173622
159,545569723,3,,
160,545569723,4,6.6718240305870635,1.0311209991843002
161,545569723,5,,
162,545569723,6,0.0370069286877535,-7.860673470928974
163,545569723,7,3.532538721630522,7.82685389060999
164,545569723,8,2.2942367366484535,-9.077205079989886
165,558675411,0,9.433888491352114,3.411682877102126
166,558675411,1,8.462038070578444,12.81170642468726
167,558675411,2,7.266448500221299,-0.3701230677179978
168,558675411,3,-74.68934542173255,-80.07470764208315
169,558675411,4,7.907981317975155,-0.5179982628756523
170,558675411,5,2.554758251081883,-2.4828380312121894
171,558675411,6,-83.01381725067372,-91.70256173499624
172,558675411,7,-5.6190771240494435,-12.855534699671438
173,558675411,8,3.7034372482324223,-2.961101935343264
174,558675411,9,0.4679170176650764,10.104383349270844
175,558675411,10,11.298826072948955,7.937718479881589
176,563942271,0,-22.20369406349092,-25.895811063531053
177,568527038,0,4.38350371999945,-0.1579720258376511
178,568527038,1,-21.826008823471703,-25.48141055461173
179,568527038,2,-3.747402282049188,-10.584519515976726
180,568527038,3,-0.7554456293695784,-10.904225769661982
181,568527038,4,-4.918525397659114,-9.431232459811202
182,568527038,5,13.192884746497093,7.972589102490604
183,568527038,6,-1.520232159061723,-5.849577801150246
184,568527038,7,1.4094964434265709,-5.855139182160981
185,590082479,0,6.385933669236494,0.063854138435051
186,590082479,1,2.374016271458669,1.8202105824226884
187,590082479,2,7.792034379070109,4.87460872865848
188,590082479,3,5.235839344908992,-0.4004289191560968
189,590082479,4,1.705794392200633,1.0553488365272576
190,590082479,5,2.5718096129661903,-1.674673689515766
191,590082479,6,3.245193697781479,-11.865118302592489
192,590082479,7,4.616312205869479,-56.691442227848114
193,590082479,8,5.849717980773003,1.4565850830164777
194,590082479,9,6.4801906311060335,5.571645446407918
195,590082479,10,4.694719405384609,-1.518154045421027
196,617522563,0,2.9696947348492753,-1.3971755539754795
197,617522563,1,-10.116802211646304,-14.828940892053003
198,617522563,2,,
199,617522563,3,,
200,617522563,4,0.8766217852637187,3.931950218735087
201,618024297,0,5.4216504744652045,-2.832093681284789
202,618024297,1,4.50516037906332,1.0870779312212775
203,618024297,2,5.764959983098172,-0.8149821110101536
204,618024297,3,1.425963755775571,13.225045486141555
205,618024297,4,5.291277004789996,60.06628923345463
206,618024297,5,0.0248544815959426,-5.744212557464738
207,618024297,6,8.140573367511221,-2.963808410716359
208,618024297,7,1.4525247435302762,-3.5947906340607396
209,618024297,8,3.496303278883668,-3.1376968120740094
210,618024297,9,-9.39966223895094,-13.964161678867455
211,654287703,0,10.67262717834872,4.650622569379646
212,654287703,1,-13.181202128950364,-19.60096429828003
213,654287703,2,1.5603817284091264,-50.8968707384533
214,654287703,3,3.3302112522736396,15.74980148198295
215,654287703,4,6.659842072524815,0.5797379862955685
216,654287703,5,10.170258807319884,2.870193709700339
217,654287703,6,4.866768885624372,-2.754052572788485
218,686425745,0,2.194732759577252,-3.2272909781794565
219,686425745,1,-6.515613631445876,-10.566306653748024
220,686425745,2,-9.382861392279075,-13.48637396177586
221,686425745,3,,
222,686425745,4,-7.67412531933963,61.63860979801736
223,686425745,5,2.8192254318473924,-3.364400406503625
224,719146721,0,6.133073908780298,-3.023026407208291
225,719146721,1,9.4804211609687,4.725570706576229
226,719146721,2,19.31224459359969,14.221884482550138
227,719146721,3,4.08666824173871,-3.0343772093199277
228,719146721,4,39.31908426906691,29.1207773078335
229,719146721,5,8.744677274775993,3.102223188131691
230,719146721,6,15.838197178424782,8.433282606583036
231,719146721,7,5.371319182846443,1.8835565432295105
232,719146721,8,7.796936096613192,1.1992989004986585
233,719146721,9,12.620555516741955,4.189941837573645
234,719146721,10,17.95905684260609,10.767568994694024
235,719146721,11,11.388839693950631,3.826384635104216
236,719146721,12,5.409031693830789,-1.1757221929865418
237,719146721,13,,
238,719146721,14,6.312493708145633,-0.6375501494497122
239,719146721,15,6.745367675403041,2.83782316031244
240,719146721,16,-1.756223904615234,-8.291819462179568
241,719146721,17,12.25413842383052,3.521627851807347
242,719210239,0,-1.170669314717807,-7.900899505954294
243,719210239,1,,
244,719210239,2,5.5043688968031494,14.275143732522215
245,719210239,3,3.813089731510469,-2.7954639651695445
246,719210239,4,-4.300431674988566,-7.975911230035048
247,719210239,5,8.253886132617843,1.5092225171877738
248,719210239,6,5.252859268137327,1.4531070495784697
249,719210239,7,-28.62203618943525,-31.279941953017715
250,719210239,8,5.090265846961949,-5.138936946033113
251,719210239,9,-12.338928520896085,-17.43858197985894
252,719210239,10,,
253,719210239,11,-23.29265417181201,-28.669011135574895
254,719210239,12,-10.556531155969706,-15.929453432347476
255,719210239,13,0.5486463376632658,-9.687909076614805
256,765710437,0,5.600270937834051,0.7216334796241188
257,765710437,1,1.6717431810860572,-2.6771189720840223
258,765710437,2,-4.554587772166955,-8.087466189716022
259,765710437,3,-6.230106126962702,-9.732376716706298
260,765710437,4,-10.49641228536926,-20.483270127566296
261,765710437,5,,
262,765710437,6,,
263,765710437,7,9.145546426729387,20.916073189977126
264,765710437,8,-7.245816821840481,-12.164092319864762
265,765710437,9,-4.216538533385139,-9.660627315099283
266,765710437,10,,
267,797796542,0,0.4807614147836602,-9.097509767752555
268,797957728,0,-5.029146366392832,-11.07463705909504
269,797957728,1,,
270,797957728,2,-4.533173358134288,-10.011592150896444
271,797957728,3,2.3156107072592578,-2.764976715776532
272,797957728,4,-17.31689827413895,-22.60164946041668
273,797957728,5,0.9343732951468978,-5.0092430289066385
274,797957728,6,,
275,797957728,7,-0.6823999973590679,-17.514171376025725
276,797957728,8,,
277,797957728,9,-2.1144516160022255,-7.9991987995257325
278,797957728,10,,
279,797957728,11,,
280,797957728,12,-10.558722925617012,-38.35727735991489
281,797957728,13,-4.033931364895905,-9.822710513211865
282,797957728,14,-5.596280466279948,-11.928563590672004
283,797957728,15,-1.4945707209829389,-6.415096929688749
284,797957728,16,-0.4525770468781691,1.7620598736596
285,797957728,17,3.222806333392602,-2.862789796121457
286,797957728,18,,
287,797957728,19,,
288,797957728,20,-3.0439482087110985,-6.763432709721428
289,797957728,21,3.0046910939331997,-45.91823817840336
290,797957728,22,3.9203022194842503,-1.9454176171065911
291,805688901,0,8.533680850018403,1.2453329831617896
292,805688901,1,,
293,805688901,2,4.793680189413983,-9.208423244322953
294,805688901,3,,
295,805688901,4,9.711027612581445,-69.28421408509143
296,805688901,5,7.097514099758715,-0.3978621487591312
297,805688901,6,6.7967124754624315,-1.3700083141806765
298,805688901,7,0.1909245291796742,1.5595221861063795
299,805688901,8,1.2158425498403789,-5.067261206627122
300,849653732,0,-18.766922805489873,-23.803093209994977
301,849653732,1,,
302,849653732,2,4.8795643835177,0.0909445874089502
303,849653732,3,,
304,849653732,4,-5.038842690056115,-10.585542778001315
305,849653732,5,1.881430881115808,-5.289231927418555
306,849653732,6,3.2495053061837194,-0.3996001852698261
